frame.number,frame.time_epoch,ip.src,ip.dst,ipv6.src,ipv6.dst,ip.proto,ipv6.nxt,tcp.srcport,tcp.dstport,udp.srcport,udp.dstport,frame.len
40568,1787931524.729570000,,,2409:4073:197:3dbc:30ff:ee1:4a11:71ca,2405:200:1630:b0d::c,,17,,,58652,443,94
40569,1787931524.731064100,,,2405:200:1630:b0d::c,2409:4073:197:3dbc:30ff:ee1:4a11:71ca,,17,,,443,58652,1296
40570,1787931524.731065900,,,2405:200:1630:b0d::c,2409:4073:197:3dbc:30ff:ee1:4a11:71ca,,17,,,443,58652,1296
40571,1787931524.731067000,,,2405:200:1630:b0d::c,2409:4073:197:3dbc:30ff:ee1:4a11:71ca,,17,,,443,58652,1296
40572,1787931524.731551700,,,2405:200:1630:b0d::c,2409:4073:197:3dbc:30ff:ee1:4a11:71ca,,17,,,443,58652,1296
40573,1787931524.733722600,,,2405:200:1630:b0d::c,2409:4073:197:3dbc:30ff:ee1:4a11:71ca,,17,,,443,58652,1296
40574,1787931524.733831300,,,2001:4860:4846:400::,2409:4073:197:3dbc:30ff:ee1:4a11:71ca,,17,,,443,50864,91
40575,1787931524.733923600,,,2001:4860:4826:400::,2409:4073:197:3dbc:30ff:ee1:4a11:71ca,,17,,,443,58363,97
40576,1787931524.747891900,,,2405:200:1630:b0d::c,2409:4073:197:3dbc:30ff:ee1:4a11:71ca,,17,,,443,58652,1296
40577,1787931524.747893800,,,2405:200:1630:b0d::c,2409:4073:197:3dbc:30ff:ee1:4a11:71ca,,17,,,443,58652,1296
40578,1787931524.747894800,,,2405:200:1630:b0d::c,2409:4073:197:3dbc:30ff:ee1:4a11:71ca,,17,,,443,58652,1296
40579,1787931524.748324300,,,2409:4073:197:3dbc:30ff:ee1:4a11:71ca,2405:200:1630:b0d::c,,17,,,58652,443,94
40580,1787931524.748573600,,,2405:200:1630:b0d::c,2409:4073:197:3dbc:30ff:ee1:4a11:71ca,,17,,,443,58652,1296
40581,1787931524.748575800,,,2405:200:1630:b0d::c,2409:4073:197:3dbc:30ff:ee1:4a11:71ca,,17,,,443,58652,1296
40582,1787931524.749339500,,,2405:200:1630:b0d::c,2409:4073:197:3dbc:30ff:ee1:4a11:71ca,,17,,,443,58652,1296
40583,1787931524.751164600,,,2409:4073:197:3dbc:30ff:ee1:4a11:71ca,2001:4860:4826:400::,,17,,,58363,443,95
40584,1787931524.758063100,,,2405:200:1630:b0d::c,2409:4073:197:3dbc:30ff:ee1:4a11:71ca,,17,,,443,58652,1296
40585,1787931524.758305900,,,2405:200:1630:b0d::c,2409:4073:197:3dbc:30ff:ee1:4a11:71ca,,17,,,443,58652,1296
40586,1787931524.760924800,,,2405:200:1630:b0d::c,2409:4073:197:3dbc:30ff:ee1:4a11:71ca,,17,,,443,58652,1296
40587,1787931524.762462500,,,2405:200:1630:b0d::c,2409:4073:197:3dbc:30ff:ee1:4a11:71ca,,17,,,443,58652,1296
40588,1787931524.762464900,,,2405:200:1630:b0d::c,2409:4073:197:3dbc:30ff:ee1:4a11:71ca,,17,,,443,58652,1296
40589,1787931524.762923500,,,2409:4073:197:3dbc:30ff:ee1:4a11:71ca,2405:200:1630:b0d::c,,17,,,58652,443,94
40590,1787931524.764331100,,,2405:200:1630:b0d::c,2409:4073:197:3dbc:30ff:ee1:4a11:71ca,,17,,,443,58652,1296
40591,1787931524.764333100,,,2405:200:1630:b0d::c,2409:4073:197:3dbc:30ff:ee1:4a11:71ca,,17,,,443,58652,1296
40592,1787931524.766646400,,,2001:4860:4826:400::,2409:4073:197:3dbc:30ff:ee1:4a11:71ca,,17,,,443,58363,123
40593,1787931524.766648800,,,2405:200:1630:b0d::c,2409:4073:197:3dbc:30ff:ee1:4a11:71ca,,17,,,443,58652,1296
40594,1787931524.767861300,,,2405:200:1630:b0d::c,2409:4073:197:3dbc:30ff:ee1:4a11:71ca,,17,,,443,58652,1296
